Date,BND,SPY,TSLA
2017-07-11,1931500,50354600,173391000
2017-07-12,1378800,59610400,155191500
2017-07-13,1321400,39471600,128917500
2017-07-14,1201700,60262700,84378000
2017-07-17,1432500,33531900,148153500
2017-07-18,1607300,42742500,95605500
2017-07-19,1589100,51034300,95355000
2017-07-20,1646800,47135200,77493000
2017-07-21,1942000,82340800,73524000
2017-07-24,1417400,46622300,129556500
2017-07-25,1385000,54915600,104838000
2017-07-26,1583000,47575400,72312000
2017-07-27,1224000,70766600,124536000
2017-07-28,1867100,50088400,73206000
2017-07-31,2561600,65838700,128026500
2017-08-01,1783600,55050400,124546500
2017-08-02,1336600,47211200,196372500
2017-08-03,1904800,40856000,203025000
2017-08-04,1046700,60191800,139033500
2017-08-07,1257900,31995000,94867500
2017-08-08,1929000,61719400,111747000
2017-08-09,1808600,62632600,103381500
2017-08-10,1376700,120479500,106393500
2017-08-11,1153400,74869900,65487000
2017-08-14,2082000,73291900,67788000
2017-08-15,1419600,55242700,46276500
2017-08-16,1594800,56715500,51207000
2017-08-17,1723600,128490400,75415500
2017-08-18,1663100,136748000,81123000
2017-08-21,1258400,65469700,97431000
2017-08-22,1157400,63140100,64830000
2017-08-23,1237800,50203800,74317500
2017-08-24,1540200,50741700,68770500
2017-08-25,1453100,64445900,52260000
2017-08-28,1408700,40565600,56460000
2017-08-29,2054300,51135700,61105500
2017-08-30,1150700,62030800,51193500
2017-08-31,1696700,103803900,61092000
2017-09-01,1471200,62007000,45742500
2017-09-05,2008400,91398800,57526500
2017-09-06,1586500,57916900,61371000
2017-09-07,1899100,58034700,63588000
2017-09-08,2702200,63832800,48952500
2017-09-11,1423100,71364800,115006500
2017-09-12,1604300,56896000,89593500
2017-09-13,1594000,59228000,62778000
2017-09-14,1325200,95446300,108037500
2017-09-15,1536200,95432400,81307500
2017-09-18,1756300,46235200,107820000
2017-09-19,1220000,47108100,96778500
2017-09-20,1672500,59574100,73786500
2017-09-21,1168200,48211400,69273000
2017-09-22,1394100,51214000,122391000
2017-09-25,2626100,57064400,114088500
2017-09-26,1446500,54082000,107344500
2017-09-27,1511900,81001400,90904500
2017-09-28,1198400,44778800,79794000
2017-09-29,3001200,85578000,76606500
2017-10-02,3642600,59023000,79302000
2017-10-03,2752100,66810200,152304000
2017-10-04,2616700,55953600,122452500
2017-10-05,2859800,63522800,62575500
2017-10-06,1860000,80646000,64462500
2017-10-09,987800,35803100,112405500
2017-10-10,4719400,43057400,104677500
